"","company","streetadd","place","state","zip"
"407","Ryder System","11690 N.W. 105th St.","Miami","Florida","33178"
"408","SanDisk","951 SanDisk Dr.","Milpitas","California","95035"
"409","Rockwell Automation","1201 S. Second St.","Milwaukee","Wisconsin","53204"
"410","Dana Holding","3939 Technology Dr.","Maumee","Ohio","43537"
"411","Lansing Trade Group","10975 Benson Drive, Suite 400","Overland","Kansas","66210"
"412","NCR","3097 Satellite Blvd.","Duluth","Georgia","30096"
"413","Expeditors International of Was","1015 Third Ave.","Seattle","Washington","98104"
"414","Omnicare","201 E. Fourth St.","Cincinnati","Ohio","45202"
"415","AK Steel Holding","9227 Centre Pointe Dr.","West Chester","Ohio","45069"
"416","Fifth Third Bancorp","38 Fountain Square Plaza","Cincinnati","Ohio","45263"
"417","Seaboard","9000 W. 67th St.","Shawnee Mission","Kansas","66202"
"418","NiSource","801 E. 86th Ave.","Merrillville","Indiana","46410"
"419","Cablevision Systems","1111 Stewart Ave.","Bethpage","New York","11714"
"420","Anixter International","2301 Patriot Blvd.","Glenview","Illinois","60026"
"421","EMCOR Group","301 Merritt Seven","Norwalk","Connecticut","6851"
"422","Fidelity National Information S","601 Riverside Ave.","Jacksonville","Florida","32204"
"423","Barnes & Noble","122 Fifth Ave.","New York","New York","10011"
"424","KBR","601 Jefferson St.","Houston","Texas","77002"
"425","Auto-Owners Insurance","6101 Anacapri Blvd.","Lansing","Michigan","48917"
"426","Jones Financial","12555 Manchester Rd.","Des Peres","Missouri","63131"
"427","Avery Dennison","207 Goode Ave.","Glendale","California","91203"
"428","NetApp","495 E. Java Dr.","Sunnyvale","California","94089"
"429","iHeartMedia","200 E. Basse Rd.","San Antonio","Texas","78209"
"430","Discovery Communications","1 Discovery Place","Silver Spring","Maryland","20910"
"431","Harley-Davidson","3700 W. Juneau Ave.","Milwaukee","Wisconsin","53208"
"432","Sanmina","2700 N. First St.","San Jose","California","95134"
"433","Trinity Industries","2525 N. Stemmons Freeway","Dallas","Texas","75207"
"434","J.B. Hunt Transport Services","615 J.B. Hunt Corporate Dr.","Lowell","Arkansas","72745"
"435","Charles Schwab","211 Main St.","San Francisco","California","94105"
"436","Erie Insurance Group","100 Erie Insurance Place","Erie","Pennsylvania","16530"
"437","Dr Pepper Snapple Group","5301 Legacy Dr.","Plano","Texas","75024"
"438","Ameren","1901 Chouteau Ave.","St. Louis","Missouri","63103"
"439","Mattel","333 Continental Blvd.","El Segundo","California","90245"
"440","Laboratory Corp. of America","358 S. Main St.","Burlington","North Carolina","27215"
"441","TEGNA","7950 Jones Branch Dr.","McLean","Virginia","22107"
"442","Starwood Hotels & Resorts","1 StarPoint","Stamford","Connecticut","6902"
"443","General Cable","4 Tesseneer Dr.","Highland Heights","Kentucky","41076"
"444","A-Mark Precious Metals","429 Santa Monica Boulevard, S","Santa Monica","California","90401"
"445","Graybar Electric","34 N. Meramec Ave.","St. Louis","Missouri","63105"
"446","Energy Future Holdings","1601 Bryan St.","Dallas","Texas","75201"
"447","HRG Group","450 Park Ave.","New York","New York","10022"
"448","MRC Global","909 Fannin St.","Houston","Texas","77010"
"449","Spectra Energy","5400 Westheimer Court","Houston","Texas","77056"
"450","Asbury Automotive Group","2905 Premiere Pkwy. N.W.","Duluth","Georgia","30097"
"451","Packaging Corp. of America","1955 W. Field Court","Lake Forest","Illinois","60045"
"452","Windstream Holdings","4001 Rodney Parham Rd.","Little Rock","Arkansas","72212"
"453","PulteGroup","100 Bloomfield Hills Pkwy.","Bloomfield Hills","Michigan","48304"
"454","JetBlue Airways","27-01 Queens Plaza N.","Long Island City","New York","11101"
"455","Newell Rubbermaid","3 Glenlake Pkwy.","Atlanta","Georgia","30328"
"456","Con-way","2211 Old Earhart Rd.","Ann Arbor","Michigan","48105"
"457","Calumet Specialty Products Part","2780 Waterfront Pkwy. E. Dr.","Indianapolis","Indiana","46214"
"458","Expedia","333 108th Ave. N.E.","Bellevue","Washington","98004"
"459","American Financial Group","301 E. Fourth St.","Cincinnati","Ohio","45202"
"460","Tractor Supply","200 Powell Place","Brentwood","Tennessee","37027"
"461","United Rentals","100 First Stamford Place","Stamford","Connecticut","6902"
