"","company","streetadd","place","state","zip"
"177","Penske Automotive Group","2555 Telegraph Rd.","Bloomfield Hills","Michigan","48302"
"178","AES","4300 Wilson Blvd.","Arlington","Virginia","22203"
"179","Colgate-Palmolive","300 Park Ave.","New York","New York","10022"
"180","Global Partners","800 South St.","Waltham","Massachusetts","2453"
"181","Thermo Fisher Scientific","81 Wyman St.","Waltham","Massachusetts","2451"
"182","PG&E Corp.","77 Beale St.","San Francisco","California","94105"
"183","NextEra Energy","700 Universe Blvd.","Juno Beach","Florida","33408"
"184","American Electric Power","1 Riverside Plaza","Columbus","Ohio","43215"
"185","Baxter International","1 Baxter Pkwy.","Deerfield","Illinois","60015"
"186","Centene","7700 Forsyth Blvd.","St. Louis","Missouri","63105"
"187","Starbucks","2401 Utah Ave. S.","Seattle","Washington","98134"
"188","Gap","2 Folsom St.","San Francisco","California","94105"
"189","Bank of New York Mellon Corp.","1 Wall St.","New York","New York","10286"
"190","Micron Technology","8000 S. Federal Way","Boise","Idaho","83716"
"191","Jabil Circuit","10560 Dr. Martin Luther King","St. Petersburg","Florida","33716"
"192","PNC Financial Services Group","249 Fifth Ave.","Pittsburgh","Pennsylvania","15222"
"193","Kinder Morgan","1001 Louisiana St.","Houston","Texas","77002"
"194","Office Depot","6600 N. Military Trail","Boca Raton","Florida","33496"
"195","Bristol-Myers Squibb","345 Park Ave.","New York","New York","10154"
"196","NRG Energy","211 Carnegie Center","Princeton","New Jersey","8540"
"197","Monsanto","800 N. Lindbergh Blvd.","St. Louis","Missouri","63167"
"198","PPG Industries","1 PPG Place","Pittsburgh","Pennsylvania","15272"
"199","Genuine Parts","2999 Circle 75 Pkwy.","Atlanta","Georgia","30339"
"200","Omnicom Group","437 Madison Ave.","New York","New York","10022"
"201","Illinois Tool Works","3600 W. Lake Ave.","Glenview","Illinois","60026"
"202","Murphy USA","200 Peach St.","El Dorado","Arkansas","71730"
"203","Land O'Lakes","4001 Lexington Ave. N.","Arden Hills","Minnesota","55126"
"204","Western Refining","123 W. Mills Ave.","El Paso","Texas","79901"
"205","Western Digital","3355 Michelson Dr.","Irvine","California","92612"
"206","FirstEnergy","76 S. Main St.","Akron","Ohio","44308"
"207","Aramark","1101 Market St.","Philadelphia","Pennsylvania","19107"
"208","DISH Network","9601 S. Meridian Blvd.","Englewood","Colorado","80112"
"209","Las Vegas Sands","3355 Las Vegas Blvd. S.","Las Vegas","Nevada","89109"
"210","Kellogg","1 Kellogg Sq.","Battle Creek","Michigan","49017"
"211","Loews","667 Madison Ave.","New York","New York","10065"
"212","CBS","51 W. 52nd St.","New York","New York","10019"
"213","Ecolab","370 Wabasha St. N.","St. Paul","Minnesota","55102"
"214","Whole Foods Market","550 Bowie St.","Austin","Texas","78703"
"215","Chubb","15 Mountain View Rd.","Warren","New Jersey","7059"
"216","Health Net","21650 Oxnard St.","Woodland Hills","California","91367"
"217","Waste Management","1001 Fannin St.","Houston","Texas","77002"
"218","Apache","2000 Post Oak Blvd.","Houston","Texas","77056"
"219","Textron","40 Westminster St.","Providence","Rhode Island","2903"
"220","Synnex","44201 Nobel Dr.","Fremont","California","94538"
"221","Marriott International","10400 Fernwood Rd.","Bethesda","Maryland","20817"
"222","Viacom","1515 Broadway","New York","New York","10036"
"223","Lincoln National","150 N. Radnor Chester Rd.","Radnor","Pennsylvania","19087"
"224","Nordstrom","1617 Sixth Ave.","Seattle","Washington","98101"
"225","C.H. Robinson Worldwide","14701 Charlson Rd.","Eden Prairie","Minnesota","55347"
"226","Edison International","2244 Walnut Grove Ave.","Rosemead","California","91770"
"227","Marathon Oil","5555 San Felipe St.","Houston","Texas","77056"
"228","Yum Brands","1441 Gardiner Lane","Louisville","Kentucky","40213"
"229","Computer Sciences","3170 Fairview Park Dr.","Falls Church","Virginia","22042"
"230","Parker-Hannifin","6035 Parkland Blvd.","Cleveland","Ohio","44124"
"231","DaVita HealthCare Partners","2000 16th St.","Denver","Colorado","80202"
"232","CarMax","12800 Tuckahoe Creek Pkwy.","Richmond","Virginia","23238"
"233","Texas Instruments","12500 TI Blvd.","Dallas","Texas","75243"
"234","WellCare Health Plans","8725 Henderson Rd.","Tampa","Florida","33634"
"235","Marsh & McLennan","1166 Ave. of the Americas","New York","New York","10036"
"236","Consolidated Edison","4 Irving Place","New York","New York","10003"
"237","Oneok","100 W. Fifth St.","Tulsa","Oklahoma","74103"
"238","Visa","900 Metro Center Blvd.","Foster City","California","94404"
"239","Jacobs Engineering Group","155 N. Lake Ave.","Pasadena","California","91101"
"240","CSX","500 Water St.","Jacksonville","Florida","32202"
"241","Entergy","639 Loyola Ave.","New Orleans","Louisiana","70113"
"242","Facebook","1601 Willow Rd.","Menlo Park","California","94025"
"243","Dominion Resources","120 Tredegar St.","Richmond","Virginia","23219"
"244","Leucadia National","520 Madison Ave.","New York","New York","10022"
"245","Toys R"" Us""""""","1 Geoffrey Way","Wayne","New Jersey","7470"
"246","DTE Energy","1 Energy Plaza","Detroit","Michigan","48226"
"247","Ameriprise Financial","1099 Ameriprise Financial Cen","Minneapolis","Minnesota","55474"
"248","VF","105 Corporate Center Blvd.","Greensboro","North Carolina","27408"
"249","Praxair","39 Old Ridgebury Rd.","Danbury","Connecticut","6810"
"250","J.C. Penney","6501 Legacy Dr.","Plano","Texas","75024"
"251","Automatic Data Processing","1 ADP Blvd.","Roseland","New Jersey","7068"
"252","L-3 Communications","600 Third Ave.","New York","New York","10016"
"253","CDW","200 N. Milwaukee Ave.","Vernon Hills","Illinois","60061"
"254","Guardian Life Ins. Co. of Ameri","7 Hanover Sq.","New York","New York","10004"
"255","Xcel Energy","414 Nicollet Mall","Minneapolis","Minnesota","55401"
"256","Norfolk Southern","3 Commercial Place","Norfolk","Virginia","23510"
"257","PPL","2 N. Ninth St.","Allentown","Pennsylvania","18101"
"258","R.R. Donnelley & Sons","111 S. Wacker Dr.","Chicago","Illinois","60606"
"259","Huntsman","500 Huntsman Way","Salt Lake City","Utah","84108"
"260","Bed Bath & Beyond","650 Liberty Ave.","Union","New Jersey","7083"
"261","Stanley Black & Decker","1000 Stanley Dr.","New Britain","Connecticut","6053"
"262","L Brands","3 Limited Pkwy.","Columbus","Ohio","43230"
"263","Liberty Interactive","12300 Liberty Blvd.","Englewood","Colorado","80112"
"264","Farmers Insurance Exchange","4680 Wilshire Boulevard","Los Angeles","California","90010"
"265","First Data","5565 Glenridge Connector N.E.","Atlanta","Georgia","30342"
"266","Sherwin-Williams","101 W. Prospect Ave.","Cleveland","Ohio","44115"
"267","BlackRock","55 E. 52nd St.","New York","New York","10055"
"268","Voya Financial","230 Park Avenue","New York","New York","10169"
"269","Ross Stores","5130 Hacienda Dr.","Dublin","California","94568"
"270","Sempra Energy","101 Ash St.","San Diego","California","92101"
"271","Estee Lauder","767 Fifth Ave.","New York","New York","10153"
"272","H.J. Heinz","1 PPG Place","Pittsburgh","Pennsylvania","15222"
"273","Reinsurance Group of America","1370 Timberlake Manor Pkwy.","Chesterfield","Missouri","63017"
"274","Public Service Enterprise Group","80 Park Plaza","Newark","New Jersey","7102"
"275","Cameron International","1333 W. Loop S.","Houston","Texas","77027"
"276","Navistar International","2701 Navistar Dr.","Lisle","Illinois","60532"
"277","CST Brands","1 Valero Way","San Antonio","Texas","78249"
"278","State Street Corp.","1 Lincoln St.","Boston","Massachusetts","2111"
"279","Unum Group","1 Fountain Sq.","Chattanooga","Tennessee","37402"
"280","Hilton Worldwide Holdings","7930 Jones Branch Dr.","McLean","Virginia","22102"
"281","Family Dollar Stores","10401 Monroe Rd.","Matthews","North Carolina","28105"
"282","Principal Financial","711 High St.","Des Moines","Iowa","50392"
"283","Reliance Steel & Aluminum","350 S. Grand Ave.","Los Angeles","California","90071"
"284","Air Products & Chemicals","7201 Hamilton Blvd.","Allentown","Pennsylvania","18195"
"285","Assurant","1 Chase Manhattan Plaza","New York","New York","10005"
"286","Peter Kiewit Sons'","1000 Kiewit Plaza","Omaha","Nebraska","68131"
"287","Henry Schein","135 Duryea Rd.","Melville","New York","11747"
"288","Cognizant Technology Solutions","500 Frank W. Burr Blvd.","Teaneck","New Jersey","7666"
"289","MGM Resorts International","3600 Las Vegas Blvd. S.","Las Vegas","Nevada","89109"
"290","W.W. Grainger","100 Grainger Pkwy.","Lake Forest","Illinois","60045"
"291","Group 1 Automotive","800 Gessner Rd.","Houston","Texas","77024"
"292","BB&T Corp.","200 W. Second St.","Winston-Salem","North Carolina","27101"
"293","Rock-Tenn","504 Thrasher St.","Norcross","Georgia","30071"
"294","Advance Auto Parts","5008 Airport Rd.","Roanoke","Virginia","24012"
"295","Ally Financial","200 Renaissance Center","Detroit","Michigan","48243"
"296","AGCO","4205 River Green Pkwy.","Duluth","Georgia","30096"
"297","Corning","1 Riverfront Plaza","Corning","New York","14831"
"298","Biogen","225 Binney St.","Cambridge","Massachusetts","2142"
"299","NGL Energy Partners","6120 S. Yale Ave.","Tulsa","Oklahoma","74136"
"300","Stryker","2825 Airview Blvd.","Kalamazoo","Michigan","49002"
"301","Molina Healthcare","200 Oceangate","Long Beach","California","90802"
"302","Precision Castparts","4650 S.W. Macadam Ave.","Portland","Oregon","97239"
"303","Discover Financial Services","2500 Lake Cook Rd.","Riverwoods","Illinois","60015"
"304","Genworth Financial","6620 W. Broad St.","Richmond","Virginia","23230"
"305","Eastman Chemical","200 S. Wilcox Dr.","Kingsport","Tennessee","37660"
"306","Dean Foods","2711 N. Haskell Ave.","Dallas","Texas","75204"
"307","AutoZone","123 S. Front St.","Memphis","Tennessee","38103"
"308","MasterCard","2000 Purchase St.","Purchase","New York","10577"
"309","Owens & Minor","9120 Lockwood Blvd.","Mechanicsville","Virginia","23116"
"310","Hormel Foods","1 Hormel Place","Austin","Minnesota","55912"
"311","GameStop","625 Westport Pkwy.","Grapevine","Texas","76051"
"312","Autoliv","1320 Pacific Dr.","Auburn Hills","Michigan","48326"
"313","CenterPoint Energy","1111 Louisiana St.","Houston","Texas","77002"
"314","Fidelity National Financial","601 Riverside Ave.","Jacksonville","Florida","32204"
"315","Sonic Automotive","4401 Colwick Rd.","Charlotte","North Carolina","28211"
"316","HD Supply Holdings","3100 Cumberland Blvd.","Atlanta","Georgia","30339"
"317","Charter Communications","400 Atlantic St.","Stamford","Connecticut","6901"
"318","Crown Holdings","1 Crown Way","Philadelphia","Pennsylvania","19154"
"319","Applied Materials","3050 Bowers Ave.","Santa Clara","California","95054"
"320","Mosaic","3033 Campus Dr.","Plymouth","Minnesota","55441"
"321","CBRE Group","400 S. Hope St.","Los Angeles","California","90071"
